Alias_Name,GameCount,Standardized_Name
Abingdon (VA),1128,Abingdon (VA)
Aldie John Champe (VA),150,Aldie John Champe (VA)
Alexandria Bishop Ireton (VA),358,Alexandria Bishop Ireton (VA)
Alexandria Edison (VA),709,Alexandria Edison (VA)
Alexandria Episcopal (VA),328,Alexandria Episcopal (VA)
Alexandria Fort Hunt (VA),232,Alexandria Fort Hunt (VA)
Alexandria Francis Hammond (VA),162,Alexandria Francis Hammond (VA)
Alexandria George Washington (VA),551,Alexandria George Washington (VA)
Alexandria Groveton (VA),305,Alexandria Groveton (VA)
Alexandria Hayfield (VA),613,Alexandria Hayfield (VA)
Alexandria Jefferson (VA),643,Alexandria Jefferson (VA)
Alexandria Mount Vernon (VA),940,Alexandria Mount Vernon (VA)
Alexandria St.Stephen's& St. Agnes (VA),227,Alexandria St.Stephen's & St. Agnes (VA)
Alexandria Saint Stephen's & Saint Agnes (VA),30,Alexandria St.Stephen's & St. Agnes (VA)
Alexandria St. Stephen's & St. Agnes (VA),30,Alexandria St.Stephen's & St. Agnes (VA)
Alexandria St. St. ephens (VA),16,Alexandria St.Stephen's & St. Agnes (VA)
Alexandria Saint Stephen's & St. Agnes (VA),1,Alexandria St.Stephen's & St. Agnes (VA)
Alexandria St.Stephen's & St. Agnes (VA),1,Alexandria St.Stephen's & St. Agnes (VA)
Alexandria T. C. Williams (VA),645,Alexandria T. C. Williams (VA)
Alexandria T.C. Williams (VA),74,Alexandria T. C. Williams (VA)
Alexandria Thomas Jefferson (VA),26,Alexandria Thomas Jefferson Science & Technology (VA)
Alexandria Thomas Jefferson Science & Technology (VA),15,Alexandria Thomas Jefferson Science & Technology (VA)
Alexandria West Potomac (VA),470,Alexandria West Potomac (VA)
Altavista Combined School (VA),934,Altavista Combined School (VA)
Amelia Court House Amelia County (VA),750,Amelia Court House Amelia County (VA)
AmeliaCourt House (VA),2,Amelia Court House Amelia County (VA)
Amherst County (VA),802,Amherst County (VA)
Annandale (VA),888,Annandale (VA)
Appalachia (VA),945,Appalachia (VA)
Appomattox County (VA),939,Appomattox County (VA)
Apprentice 150 (VA),1,Apprentice 150 lb (VA)
Apprentice 150 lb (VA),1,Apprentice 150 lb (VA)
Arlington Bishop O'Connell (VA),383,Arlington Bishop O'Connell (VA)
Arlington Bishop Oconnell (VA),19,Arlington Bishop O'Connell (VA)
BishopOConnell (VA),1,Arlington Bishop O'Connell (VA)
Arlington Wakefield (VA),781,Arlington Wakefield (VA)
Arlington Washington & Lee (VA),20,Arlington Washington & Lee (VA)
